"Locus"	"Missing"	"Paralogous"	"CountNuc"	"CountAA"	"MinLength"	"MaxLength"	"AvgLength"	"NonVarNuc"	"NonVarAA"	"AllelicDiv"	"ADivNM"	"VSitesNuc"	"VSitesAA"	"RatioCount"	"RatioVS"
"MYCO000001"	5	0	1	2	1524	1524	1524	1522	505	0.000656167979002625	-0.00274675416236623	0.00131233595800525	0.00590551181102362	2	4.5
"MYCO000001"	5	0	2	2	1524	1524	1524	1522	505	0.00131233595800525	-0.00209058618336361	0.00131233595800525	0.00590551181102362	1	4.5
"MYCO000005"	2	0	1	5	2028	2034	2029.2	1491	575	0.000492805046323674	-0.00291011709504519	0.265227675931402	0.149911295091662	5	0.565217391304348
"MYCO000005"	2	0	2	5	2028	2034	2029.2	1491	575	0.000985610092647349	-0.00241731204872151	0.265227675931402	0.149911295091662	2.5	0.565217391304348
"MYCO000005"	2	0	3	5	2028	2034	2029.2	1491	575	0.00147841513897102	-0.00192450700239784	0.265227675931402	0.149911295091662	1.66666666666667	0.565217391304348
"MYCO000005"	2	0	4	5	2028	2034	2029.2	1491	575	0.0019712201852947	-0.00143170195607416	0.265227675931402	0.149911295091662	1.25	0.565217391304348
"MYCO000005"	2	0	5	5	2028	2034	2029.2	1491	575	0.00246402523161837	-0.000938896909750488	0.265227675931402	0.149911295091662	1	0.565217391304348
"MYCO000005"	2	0	6	5	2028	2034	2029.2	1491	575	0.00295683027794205	-0.000446091863426814	0.265227675931402	0.149911295091662	0.833333333333333	0.565217391304348
"MYCO000006"	1	0	1	8	2517	2520	2518.5	1825	716	0.000397061743101052	-0.00300586039826781	0.27536231884058	0.14711137581894	8	0.534246575342466
"MYCO000006"	1	0	2	8	2517	2520	2518.5	1825	716	0.000794123486202104	-0.00260879865516675	0.27536231884058	0.14711137581894	4	0.534246575342466
"MYCO000006"	1	0	3	8	2517	2520	2518.5	1825	716	0.00119118522930316	-0.0022117369120657	0.27536231884058	0.14711137581894	2.66666666666667	0.534246575342466
"MYCO000006"	1	0	4	8	2517	2520	2518.5	1825	716	0.00158824697240421	-0.00181467516896465	0.27536231884058	0.14711137581894	2	0.534246575342466
"MYCO000006"	1	0	5	8	2517	2520	2518.5	1825	716	0.00198530871550526	-0.0014176134258636	0.27536231884058	0.14711137581894	1.6	0.534246575342466
"MYCO000006"	1	0	6	8	2517	2520	2518.5	1825	716	0.00238237045860631	-0.00102055168276255	0.27536231884058	0.14711137581894	1.33333333333333	0.534246575342466
"MYCO000006"	1	0	7	8	2517	2520	2518.5	1825	716	0.00277943220170737	-0.000623489939661494	0.27536231884058	0.14711137581894	1.14285714285714	0.534246575342466
"MYCO000006"	1	0	8	8	2517	2520	2518.5	1825	716	0.00317649394480842	-0.000226428196560442	0.27536231884058	0.14711137581894	1	0.534246575342466
"MYCO000009"	0	0	1	6	528	549	545	357	132	0.0018348623853211	-0.00156805975604776	0.344954128440367	0.273394495412844	6	0.792553191489362
"MYCO000009"	0	0	2	6	528	549	545	357	132	0.0036697247706422	0.000266802629273342	0.344954128440367	0.273394495412844	3	0.792553191489362
"MYCO000009"	0	0	3	6	528	549	545	357	132	0.0055045871559633	0.00210166501459444	0.344954128440367	0.273394495412844	2	0.792553191489362
"MYCO000009"	0	0	4	6	528	549	545	357	132	0.0073394495412844	0.00393652739991554	0.344954128440367	0.273394495412844	1.5	0.792553191489362
"MYCO000009"	0	0	5	6	528	549	545	357	132	0.00917431192660551	0.00577138978523664	0.344954128440367	0.273394495412844	1.2	0.792553191489362
"MYCO000009"	0	0	6	6	528	549	545	357	132	0.0110091743119266	0.00760625217055775	0.344954128440367	0.273394495412844	1	0.792553191489362
"MYCO000011"	1	0	1	4	264	282	277.5	166	61	0.0036036036036036	0.000200681462234744	0.401801801801802	0.340540540540541	4	0.847533632286996
"MYCO000011"	1	0	2	4	264	282	277.5	166	61	0.00720720720720721	0.00380428506583835	0.401801801801802	0.340540540540541	2	0.847533632286996
"MYCO000011"	1	0	3	4	264	282	277.5	166	61	0.0108108108108108	0.00740788866944195	0.401801801801802	0.340540540540541	1.33333333333333	0.847533632286996
"MYCO000011"	1	0	4	4	264	282	277.5	166	61	0.0144144144144144	0.0110114922730456	0.401801801801802	0.340540540540541	1	0.847533632286996
"MYCO000011"	1	0	5	4	264	282	277.5	166	61	0.018018018018018	0.0146150958766492	0.401801801801802	0.340540540540541	0.8	0.847533632286996
"MYCO000013"	2	0	1	5	687	699	691.8	484	179	0.00144550448106389	-0.00195741766030497	0.300375831165077	0.22376409366869	5	0.744947064485082
"MYCO000013"	2	0	2	5	687	699	691.8	484	179	0.00289100896212778	-0.000511913179241077	0.300375831165077	0.22376409366869	2.5	0.744947064485082
"MYCO000013"	2	0	3	5	687	699	691.8	484	179	0.00433651344319167	0.000933591301822814	0.300375831165077	0.22376409366869	1.66666666666667	0.744947064485082
"MYCO000013"	2	0	4	5	687	699	691.8	484	179	0.00578201792425557	0.00237909578288671	0.300375831165077	0.22376409366869	1.25	0.744947064485082
"MYCO000013"	2	0	5	5	687	699	691.8	484	179	0.00722752240531946	0.0038246002639506	0.300375831165077	0.22376409366869	1	0.744947064485082
"MYCO000013"	2	0	6	5	687	699	691.8	484	179	0.00867302688638335	0.00527010474501449	0.300375831165077	0.22376409366869	0.833333333333333	0.744947064485082
"MYCO000015"	5	0	1	2	1296	1296	1296	1294	430	0.000771604938271605	-0.00263131720309725	0.00154320987654321	0.00462962962962963	2	3
"MYCO000015"	5	0	2	2	1296	1296	1296	1294	430	0.00154320987654321	-0.00185971226482565	0.00154320987654321	0.00462962962962963	1	3
"MYCO000015"	5	0	3	2	1296	1296	1296	1294	430	0.00231481481481481	-0.00108810732655405	0.00154320987654321	0.00462962962962963	0.666666666666667	3
"MYCO000016"	1	0	1	4	1476	1479	1476.75	956	354	0.000677162688335873	-0.00272575945303299	0.352632469950906	0.280853224987303	4	0.796447431589054
"MYCO000016"	1	0	2	4	1476	1479	1476.75	956	354	0.00135432537667175	-0.00204859676469711	0.352632469950906	0.280853224987303	2	0.796447431589054
"MYCO000016"	1	0	3	4	1476	1479	1476.75	956	354	0.00203148806500762	-0.00137143407636124	0.352632469950906	0.280853224987303	1.33333333333333	0.796447431589054
"MYCO000016"	1	0	4	4	1476	1479	1476.75	956	354	0.00270865075334349	-0.000694271388025369	0.352632469950906	0.280853224987303	1	0.796447431589054
"MYCO000016"	1	0	5	4	1476	1479	1476.75	956	354	0.00338581344167936	-1.71086996894963e-05	0.352632469950906	0.280853224987303	0.8	0.796447431589054
"MYCO000017"	1	0	1	5	1410	1413	1410.6	892	332	0.000708918190840777	-0.00269400395052808	0.367644973770027	0.293917481922586	5	0.79946008484381
"MYCO000017"	1	0	2	5	1410	1413	1410.6	892	332	0.00141783638168155	-0.00198508575968731	0.367644973770027	0.293917481922586	2.5	0.79946008484381
"MYCO000017"	1	0	3	5	1410	1413	1410.6	892	332	0.00212675457252233	-0.00127616756884653	0.367644973770027	0.293917481922586	1.66666666666667	0.79946008484381
"MYCO000017"	1	0	4	5	1410	1413	1410.6	892	332	0.00283567276336311	-0.000567249378005752	0.367644973770027	0.293917481922586	1.25	0.79946008484381
"MYCO000017"	1	0	5	5	1410	1413	1410.6	892	332	0.00354459095420388	0.000141668812835025	0.367644973770027	0.293917481922586	1	0.79946008484381
"MYCO000019"	0	0	1	5	465	468	467.4	281	111	0.00213949507916132	-0.00126342706220754	0.39880188275567	0.287548138639281	5	0.721030042918455
"MYCO000019"	0	0	2	5	465	468	467.4	281	111	0.00427899015832264	0.000876068016953776	0.39880188275567	0.287548138639281	2.5	0.721030042918455
"MYCO000019"	0	0	3	5	465	468	467.4	281	111	0.00641848523748395	0.00301556309611509	0.39880188275567	0.287548138639281	1.66666666666667	0.721030042918455
"MYCO000019"	0	0	4	5	465	468	467.4	281	111	0.00855798031664527	0.00515505817527641	0.39880188275567	0.287548138639281	1.25	0.721030042918455
"MYCO000019"	0	0	5	5	465	468	467.4	281	111	0.0106974753958066	0.00729455325443773	0.39880188275567	0.287548138639281	1	0.721030042918455
"MYCO000019"	0	0	6	5	465	468	467.4	281	111	0.0128369704749679	0.00943404833359905	0.39880188275567	0.287548138639281	0.833333333333333	0.721030042918455
