GbGDiv simplified results table from 'accumulate-1.txt' records table.
Isolate records read from table: 4

Locus	Missing	Paralogous	CountNuc
id	0	0	4	
isolate	0	0	4	
species	0	0	2	
MYCO000001	1	0	1	
MYCO000005	0	0	3	
MYCO000006	0	0	3	
MYCO000009	0	0	2	
MYCO000011	0	0	2	
MYCO000013	1	0	2	
MYCO000015	1	0	1	
MYCO000016	1	0	1	
MYCO000017	1	0	1	
MYCO000019	0	0	2	
MYCO000002	1	0	1	
MYCO000003	0	0	3	
MYCO000004	1	0	1	
MYCO000007	1	0	1	
MYCO000008	1	0	2	
MYCO000010	1	0	1	
MYCO000012	1	0	2	
MYCO000014	1	0	1	
MYCO000018	1	0	2	
MYCO000020	1	0	2	
MYCO000021	1	0	1	
MYCO000022	1	0	1	
MYCO000023	1	0	1	
MYCO000024	1	0	1	
MYCO000025	2	0	1	
