Locus	Status	Total allele count	Shared allele count	Shared alleles	Alleles specific to M. bovis	Alleles specific to M. canetti
species2	Specific	2	0		Mycobacterium bovis	Mycobacterium canettii
BACT000001	Specific	5	0		645	3871;3876;3878;3877
BACT000002	Mixed	4	1	140		2922;2921;2916
BACT000003	Specific	5	0		126	2444;2443;2442;2438
BACT000004	Specific	6	0		112	2507;2513;2511;2510;2512
BACT000005	Specific	6	0		79	2305;2299;2303;2302;2304
BACT000006	Mixed	3	1	82		2101;2100
BACT000007	Mixed	4	1	93		2207;2208;2203
BACT000008	Specific	6	0		66	2062;2059;2056;2060;2061
BACT000009	Mixed	5	1	85		2320;2318;2319;2313
BACT000010	Specific	2	0		76	1991
BACT000011	Specific	4	0		57	66;1926;1933
BACT000012	Mixed	3	1	84	568	2146
BACT000013	Specific	4	0		61	1962;1963;1958
BACT000014	Mixed	4	1	71	68	1671;1670
BACT000015	Mixed	3	1	73		3598;2149
BACT000016	Mixed	4	1	58		1932;1933;1934
BACT000017	Mixed	4	1	60		1835;1838;1839
BACT000018	Mixed	3	1	1494	59	1770
BACT000019	No variation	1	1	51		
BACT000020	Specific	4	0		69	1887;1882;1886
BACT000021	No variation	0	0			
BACT000030	Specific	4	0		637	2911;2916;2917
BACT000031	Specific	6	0		88;615	2838;2832;2836;2837
BACT000032	Mixed	3	1	114		2651;2650
BACT000033	Specific	4	0		100	2643;2644;2639
BACT000034	Mixed	3	1	77	568	2218
BACT000035	Specific	6	0		86	2356;2353;2354;2349;2355
BACT000036	Mixed	4	1	84		2210;2214;2213
BACT000038	Mixed	4	1	74		2709;2710;2711
BACT000039	Specific	5	0		54	2148;2143;2146;2147
BACT000040	Mixed	3	1	61		2286;2290
BACT000042	Specific	4	0		73	2243;2241;2244
BACT000043	Specific	3	0		70	1926;1925
BACT000044	Specific	6	0		555	2267;2263;2269;2266;2268
BACT000045	Specific	4	0		59	1989;1988;1983
BACT000046	Specific	4	0		533	2041;2042;2040
BACT000047	Specific	6	0		43	2084;2101;2100;2083;2104
BACT000048	Mixed	4	1	61		2197;2202;2201
BACT000049	Mixed	4	1	56		2198;2199;2191
BACT000050	Specific	5	0		43	1996;2001;2000;2002
BACT000051	Specific	5	0		90	2067;2070;2069;2071
BACT000052	Specific	3	0		59	1860;1859
BACT000053	Mixed	3	1	78		1926;1931
BACT000056	No variation	1	1	51		
BACT000057	Mixed	5	1	1005	55	1666;1664;1801
BACT000058	Mixed	4	1	50		1535;1530;1534
BACT000059	Specific	5	0		423	1343;36;1341;1342
BACT000060	Mixed	5	1	51	535	1909;1903;1908
BACT000061	Specific	4	0		74	1667;1663;1668
BACT000062	Mixed	3	1	638	80	1653
BACT000063	Specific	3	0		42	1507;1508
BACT000064	Mixed	4	1	41		1690;1687;1691
BACT000065	Mixed	2	1	23		1333
rST	Mixed	7	1	1260	1228;1267	6805;6807;6804;6812
genus	No variation	1	1	Mycobacterium		
species	Mixed	2	1	Mycobacterium bovis		Mycobacterium canettii
subspecies	No variation	0	0			
lineage	No variation	0	0			
sublineage	No variation	0	0			
other_designation	No variation	0	0			
notes	No variation	0	0			
