Locus	765 (AF2122/97|Mycobacterium_bovis)	766 (BCGPasteur1173P2|Mycobacterium_bovis)	767 (BCGTokyo172|Mycobacterium_bovis)	55602 (CIPT_140010059|Mycobacterium_canettii)	55603 (CIPT_140060008|Mycobacterium_canettii)	55604 (CIPT_140070008|Mycobacterium_canettii)	55605 (CIPT_140070010|Mycobacterium_canettii)	55606 (CIPT_140070017|Mycobacterium_canettii)	67794 (BCG_str._Korea_1168P|Mycobacterium_bovis)	67795 (BCG_str._Mexico|Mycobacterium_bovis)
BACT000001 (rpsA)	645	645	645	3876	3876	3877	3878	3871	645	645
BACT000002 (rpsB)	140	140	140	140	140	2921	2922	2916	140	140
BACT000003 (rpsC)	126	126	126	2442	2442	2443	2444	2438	126	126
BACT000004 (rpsD)	112	112	112	2510	2511	2512	2513	2507	112	112
BACT000005 (rpsE)	79	79	79	2302	2303	2304	2305	2299	79	79
BACT000006 (rpsF)	82	82	82	82	82	2100	2101	82	82	82
BACT000007 (rpsG)	93	93	93	93	2207	93	2208	2203	93	93
BACT000008 (rpsH)	66	66	66	2059	2060	2061	2062	2056	66	66
BACT000009 (rpsI)	85	85	85	2318	85	2319	2320	2313	85	85
BACT000010 (rpsJ)	76	76	76	1991	1991	1991	1991	1991	76	76
BACT000011 (rpsK)	57	57	57	1933	1933	66	1933	1926	57	57
BACT000012 (rpsL)	84	568	568	84	84	84	84	2146	568	568
BACT000013 (rpsM)	61	61	61	1962	1962	1963	1962	1958	61	61
BACT000014 (rpsN)	68,71	68,71	68,71	71	1670	71	1671	71	68,71	68,71
BACT000015 (rpsO)	73	73	73	2149	73	3598	2149	2149	73	73
BACT000016 (rpsP)	58	58	58	58	58	1933	1934	1932	58	58
BACT000017 (rpsQ)	60	60	60	1838	1839	60	1838	1835	60	60
BACT000018 (rpsR)	1494,59	1494,59	1494,59	1494	1494	1494	1770	1494	1494,59	1494,59
BACT000019 (rpsS)	51	51	51	51	51	51	51	51	51	51
BACT000020 (rpsT)	69	69	69	1886	1886	1887	1886	1882	69	69
BACT000021 (rpsU)	X	X	X	X	X	X	X	X	X	X
BACT000030 (rplA)	637	637	637	2916	2916	2916	2917	2911	637	637
BACT000031 (rplB)	615	88	88	2836	2836	2837	2838	2832	88	88
BACT000032 (rplC)	114	114	114	2650	2650	114	2651	2651	114	114
BACT000033 (rplD)	100	100	100	2643	2643	2644	2643	2639	100	100
BACT000034 (rplE)	77	77	568	2218	2218	77	2218	2218	77	77
BACT000035 (rplF)	86	86	86	2353	2354	2355	2356	2349	86	86
BACT000036 (rplL)	84	84	84	2213	84	84	2214	2210	84	84
BACT000038 (rplI)	74	74	74	74	74	2709	2711	2710	74	74
BACT000039 (rplJ)	54	54	54	2146	2147	2146	2148	2143	54	54
BACT000040 (rplK)	61	61	61	61	61	61	2290	2286	61	61
BACT000042 (rplM)	73	73	73	2241	2243	2241	2244	2241	73	73
BACT000043 (rplN)	70	70	70	1925	1925	1926	1925	1925	70	70
BACT000044 (rplO)	555	555	555	2266	2267	2268	2269	2263	555	555
BACT000045 (rplP)	59	59	59	1988	1988	1989	1988	1983	59	59
BACT000046 (rplQ)	533	533	533	2040	2041	2040	2042	2040	533	533
BACT000047 (rplR)	43	43	43	2084	2083	2100	2104	2101	43	43
BACT000048 (rplS)	61	61	61	61	61	2201	2202	2197	61	61
BACT000049 (rplT)	56	56	56	56	56	2198	2199	2191	56	56
BACT000050 (rplU)	43	43	43	2000	2000	2001	2002	1996	43	43
BACT000051 (rplV)	90	90	90	2069	2069	2070	2071	2067	90	90
BACT000052 (rplW)	59	59	59	1859	1859	1860	1859	1859	59	59
BACT000053 (rplX)	78	78	78	78	78	1931	78	1926	78	78
BACT000056 (rpmA)	51	51	51	51	51	51	51	51	51	51
BACT000057 (rpmB)	1005,55	1005,55	1005,55	1666	1666	1005	1801	1664	1005,55	1005,55
BACT000058 (rpmC)	50	50	50	1534	1535	50	1534	1530	50	50
BACT000059 (rpmD)	423	423	423	1342	1343	36	36	1341	423	423
BACT000060 (rpmE)	51	535	535	51	1908	51	1909	1903	535	535
BACT000061 (rpmF)	74	74	74	1667	1667	X	1668	1663	74	74
BACT000062 (rpmG)	638,80	638,80	638,80	638	638	1653	1653	1653	638,80	638,80
BACT000063 (rpmH)	42	42	42	1507	1507	1507	1508	1507	42	42
BACT000064 (rpmI)	41	41	41	41	41	1690	1691	1687	41	41
BACT000065 (rpmJ)	23	23	23	23	23	1333	23	23	23	23
