locus,varsites
BACT000001,431
BACT000002,265
BACT000003,228
BACT000004,189
BACT000005,93
BACT000006,87
BACT000007,150
BACT000008,125
BACT000009,130
BACT000010,95
BACT000011,115
BACT000012,116
BACT000013,113
BACT000014,32
BACT000015,76
BACT000016,65
BACT000017,113
BACT000018,41
BACT000019,89
BACT000020,80
BACT000021,0
BACT000030,204
BACT000031,270
BACT000032,195
BACT000033,203
BACT000034,173
BACT000035,169
BACT000036,113
BACT000038,144
BACT000039,164
BACT000040,136
BACT000042,134
BACT000043,117
BACT000044,137
BACT000045,128
BACT000046,167
BACT000047,118
BACT000048,102
BACT000049,122
BACT000050,98
BACT000051,187
BACT000052,94
BACT000053,96
BACT000056,82
BACT000057,23
BACT000058,34
BACT000059,57
BACT000060,77
BACT000061,50
BACT000062,11
BACT000063,23
BACT000064,57
BACT000065,35
MYCO000001,426
MYCO000002,351
MYCO000003,344
MYCO000004,147
MYCO000005,602
MYCO000006,719
MYCO000007,247
MYCO000008,117
MYCO000009,172
MYCO000010,97
MYCO000011,77
MYCO000012,218
MYCO000013,181
MYCO000014,564
MYCO000015,378
MYCO000016,437
MYCO000017,422
MYCO000018,466
MYCO000019,141
MYCO000020,430
MYCO000021,276
MYCO000022,117
MYCO000023,224
MYCO000024,248
MYCO000025,96
MYCO000026,349
MYCO000027,92
MYCO000028,86
MYCO000029,309
MYCO000030,92
MYCO000031,59
MYCO000032,685
MYCO000033,77
MYCO000034,119
MYCO000035,476
MYCO000036,226
MYCO000037,391
MYCO000038,189
MYCO000039,103
MYCO000040,272
MYCO000041,865
MYCO000042,158
MYCO000043,216
MYCO000044,230
MYCO000045,189
MYCO000046,327
MYCO000047,158
MYCO000048,252
MYCO000049,123
MYCO000050,601
MYCO000051,493
MYCO000052,154
MYCO000054,154
MYCO000057,140
MYCO000058,804
MYCO000059,197
MYCO000060,327
MYCO000061,100
MYCO000062,316
MYCO000063,418
MYCO000064,865
MYCO000065,125
MYCO000066,678
MYCO000067,174
MYCO000068,238
MYCO000069,416
MYCO000070,263
MYCO000071,201
MYCO000072,314
MYCO000073,250
MYCO000074,374
MYCO000075,346
MYCO000076,114
MYCO000077,244
MYCO000078,186
MYCO000079,255
MYCO000080,119
MYCO000081,104
MYCO000082,146
MYCO000083,600
MYCO000084,298
MYCO000085,190
MYCO000086,443
MYCO000087,435
MYCO000088,195
MYCO000089,178
MYCO000090,224
MYCO000091,229
MYCO000092,683
MYCO000093,238
MYCO000094,306
MYCO000095,102
MYCO000096,411
MYCO000097,276
MYCO000098,169
MYCO000099,499
MYCO000100,75
MYCO000101,2294
MYCO000102,588
MYCO000103,680
MYCO000104,449
MYCO000106,373
MYCO000107,1630
MYCO000108,63
MYCO000109,444
MYCO000110,225
MYCO000111,627
MYCO000112,268
MYCO000113,158
MYCO000114,167
MYCO000115,342
MYCO000116,224
MYCO000117,284
MYCO000118,520
MYCO000119,481
MYCO000120,638
MYCO000121,129
MYCO000122,108
MYCO000123,116
MYCO000124,479
MYCO000125,337
MYCO000126,543
MYCO000127,428
MYCO000128,239
MYCO000129,321
MYCO000130,132
MYCO000131,404
MYCO000132,324
MYCO000133,168
MYCO000134,278
MYCO000135,186
MYCO000136,376
MYCO000137,167
MYCO000138,148
MYCO000139,307
MYCO000140,110
MYCO000141,124
MYCO000142,263
MYCO000143,433
MYCO000144,252
MYCO000145,278
MYCO000146,275
MYCO000147,448
MYCO000148,266
MYCO000149,293
