GbGDiv results table from 'allMtub-MYCOBACT' records table.
Created at 16:55, on Tue 3 May, 2016
Software version: 0.9
Isolate records read from table: 7670

"Locus"	"Missing"	"Paralogous"	"CountNuc"	"CountAA"	"MinLength"	"MaxLength"	"AvgLength"	"NonVarNuc"	"NonVarAA"	"AllelicDiv"	"ADivNM"	"VSitesNuc"	"VSitesAA"	"RatioCount"	"RatioVS"
"BACT000001"	21	0	103	72	1443	1446	1445.91666666667	1227	124	0.071235087314852	0.00922853151398041	0.151403377326957	0.742723762319175	0.699029126213592	4.90559573658159
"BACT000002"	218	0	39	30	861	867	863.9	817	134	0.045144113902072	-0.0168624418987996	0.0542886908206968	0.534668364394027	0.769230769230769	9.84861407249467
"BACT000003"	742	1	46	30	654	825	819.1	321	41	0.0561591991209864	-0.00584735667988516	0.608106458307899	0.849835184959101	0.652173913043478	1.3975105400522
"BACT000004"	40	1	34	18	603	606	605.833333333333	280	88	0.056121045392022	-0.00588551040884957	0.537826685006877	0.56423658872077	0.529411764705882	1.04910485933504
"BACT000005"	125	1	38	26	501	675	657.115384615385	260	35	0.0578285045361428	-0.00417805126472882	0.604331284752707	0.840210711150132	0.684210526315789	1.39031476997579
"BACT000006"	7	1	20	15	291	297	291.4	129	15	0.0686341798215511	0.00662762402067953	0.557309540150995	0.84557309540151	0.75	1.51724137931034
"BACT000007"	16	1	22	10	471	471	471	250	88	0.0467091295116773	-0.0152974262891943	0.469214437367304	0.439490445859873	0.454545454545455	0.936651583710407
"BACT000008"	30	1	29	10	399	399	399	209	72	0.0726817042606516	0.01067514845978	0.476190476190476	0.458646616541353	0.344827586206897	0.963157894736842
"BACT000009"	33	1	33	22	393	456	452.590909090909	186	56	0.0729135281711359	0.0109069723702643	0.589032841217234	0.628803856583308	0.666666666666667	1.06751918158568
"BACT000010"	3	1	15	9	306	309	306.333333333333	178	68	0.0489662676822634	-0.0130402881186082	0.418933623503808	0.334058759521218	0.6	0.797402597402597
"BACT000011"	62	1	28	16	390	420	417.75	217	19	0.0670257330939557	0.00501917729308411	0.480550568521843	0.863554757630162	0.571428571428571	1.79701120797011
"BACT000012"	4	0	24	14	375	375	375	354	114	0.064	0.0019934441991284	0.056	0.088	0.583333333333333	1.57142857142857
"BACT000013"	18	1	30	17	366	375	374.294117647059	186	19	0.0801508722300801	0.0181443164292085	0.503064592173503	0.847713342762848	0.566666666666667	1.68509840674789
"BACT000014"	3	7057	3	3	186	306	226	72	24	0.0132743362831858	-0.0487322195176858	0.68141592920354	0.68141592920354	1	1
"BACT000015"	10	0	9	8	267	270	269.625	262	17	0.0333796940194715	-0.0286268617814001	0.0282800185442745	0.810848400556328	0.888888888888889	28.672131147541
"BACT000016"	56	1	37	28	276	489	481.392857142857	131	30	0.0768603012092886	0.0148537454084169	0.727872987610357	0.813042510572001	0.756756756756757	1.11701151768423
"BACT000017"	25	1	23	17	264	369	362.823529411765	123	40	0.0633916990920882	0.00138514329121654	0.660992217898833	0.669260700389105	0.739130434782609	1.01250919793966
"BACT000018"	1	5990	5	4	243	267	258	82	28	0.0193798449612403	-0.0426267108396313	0.682170542635659	0.674418604651163	0.8	0.988636363636364
"BACT000019"	3	1	15	9	279	282	281.666666666667	174	66	0.0532544378698224	-0.00875211793104918	0.38224852071006	0.297041420118344	0.6	0.777089783281735
"BACT000020"	7	1	17	13	252	261	260.307692307692	99	14	0.065307328605201	0.00330077280432942	0.619680851063829	0.838652482269503	0.764705882352941	1.35336194563662
"BACT000021"	7668	0	2	2	174	177	175.5	113	41	0.0113960113960114	-0.0506105444048602	0.356125356125356	0.299145299145299	1	0.84
"BACT000030"	79	2136	37	25	696	708	707.52	349	114	0.0522953414744459	-0.00971121432642565	0.506727725011307	0.516621438263229	0.675675675675676	1.0195247127078
"BACT000031"	5	1	34	16	834	843	842.4375	444	169	0.0403590770828696	-0.021647478718002	0.472957934564879	0.398174938793679	0.470588235294118	0.841882352941176
"BACT000032"	16	1	30	17	648	675	655.941176470588	220	50	0.0457358084476729	-0.0162707473531987	0.664604071383732	0.771320957761636	0.566666666666667	1.16057212252058
"BACT000033"	203	0	37	25	672	672	672	637	200	0.0550595238095238	-0.0069470319913478	0.0520833333333333	0.107142857142857	0.675675675675676	2.05714285714286
"BACT000034"	13	1	31	17	540	564	561.882352941176	274	67	0.0551716917922948	-0.00683486400857674	0.512353433835846	0.642273869346733	0.548387096774194	1.25357580711075
"BACT000035"	7	1	31	17	537	540	539.823529411765	267	86	0.0574261741309796	-0.00458038166989201	0.505393919581563	0.522066034651847	0.548387096774194	1.03298835705045
"BACT000036"	485	1	26	19	363	393	389.052631578947	160	6	0.0668290043290044	0.00482244852813279	0.588744588744588	0.953733766233766	0.730769230769231	1.61994485294118
"BACT000038"	35	1	22	15	447	459	457.8	202	20	0.0480559196155526	-0.013950636185319	0.558759283529926	0.868938401048493	0.681818181818182	1.55512118842846
"BACT000039"	27	1	30	20	501	537	535.05	231	41	0.0560695262125035	-0.0059370295883681	0.568264648163723	0.770114942528736	0.666666666666667	1.35520473606315
"BACT000040"	913	1	24	14	423	432	428.571428571429	243	21	0.0559999999999999	-0.00600655580087166	0.433000000000001	0.853	0.583333333333333	1.96997690531178
"BACT000042"	11	1	33	18	438	444	443.333333333333	183	57	0.074436090225564	0.0124295344246924	0.587218045112782	0.614285714285714	0.545454545454545	1.0460947503201
"BACT000043"	6	1	26	10	369	369	369	207	87	0.0704607046070461	0.00845414880617447	0.439024390243902	0.292682926829268	0.384615384615385	0.666666666666667
"BACT000044"	43	1	25	19	402	441	438.947368421053	98	40	0.0569544364508393	-0.00505211935003232	0.77673860911271	0.726618705035971	0.76	0.935473911701142
"BACT000045"	31	1	23	17	417	435	418.058823529412	216	73	0.0550161812297734	-0.00699037457109817	0.483326298016041	0.476150274377375	0.739130434782609	0.985152838427948
"BACT000046"	8	1	40	26	372	546	536.538461538462	165	32	0.0745519713261648	0.0125454155252932	0.69247311827957	0.821075268817204	0.65	1.18571428571429
"BACT000047"	99	1	20	12	357	429	372.5	139	42	0.0536912751677852	-0.00831528063308636	0.626845637583893	0.661744966442953	0.6	1.05567451820128
"BACT000048"	2	1	23	14	342	351	342.642857142857	185	50	0.0671252866374818	0.00511873083661019	0.460079216176777	0.562226391494684	0.608695652173913	1.222020842773
"BACT000049"	9	1	22	12	357	390	387.25	174	56	0.0568108457069077	-0.00519571009396392	0.55067785668173	0.566171723692705	0.545454545454545	1.02813599062134
"BACT000050"	43	1	19	12	309	312	311.75	130	23	0.0609462710505213	-0.00106028475035035	0.582999198075381	0.778668805132318	0.631578947368421	1.33562585969739
