GbGDiv simplified results table from 'accumulate-8.txt' records table.
Isolate records read from table: 2048

Locus	Missing	Paralogous	CountNuc
id	0	0	2048	
isolate	0	0	2048	
rMLST_database_accession	0	0	2048	
BACT000001	6	0	48	
BACT000002	54	0	20	
BACT000003	180	0	25	
BACT000004	16	0	15	
BACT000005	34	0	17	
BACT000006	0	0	12	
BACT000007	5	0	12	
BACT000008	11	0	10	
BACT000009	5	0	21	
BACT000010	1	0	5	
BACT000011	12	0	10	
BACT000012	1	0	13	
BACT000013	3	0	11	
BACT000014	1	1866	2	
BACT000015	1	0	9	
BACT000016	20	0	19	
BACT000017	9	0	15	
BACT000018	0	1560	3	
BACT000019	0	0	8	
BACT000020	2	0	10	
BACT000021	2048	0	0	
BACT000030	17	557	19	
BACT000031	2	0	14	
BACT000032	4	0	13	
BACT000033	50	0	19	
BACT000034	5	0	18	
BACT000035	3	0	17	
BACT000036	125	0	14	
BACT000038	10	0	13	
BACT000039	7	0	16	
BACT000040	241	0	11	
BACT000042	3	0	16	
BACT000043	0	0	16	
BACT000044	11	0	10	
BACT000045	6	0	12	
BACT000046	2	0	23	
BACT000047	24	0	8	
BACT000048	0	0	14	
BACT000049	1	0	13	
BACT000050	7	0	11	
BACT000051	51	0	14	
BACT000052	1	0	7	
BACT000053	2	0	6	
BACT000056	2	0	8	
BACT000057	1	1986	3	
BACT000058	0	0	9	
BACT000059	0	0	4	
BACT000060	2	0	4	
BACT000061	4	0	11	
BACT000062	1	1722	7	
BACT000063	1	0	6	
BACT000064	0	0	8	
BACT000065	2	0	1	
MYCO000001	15	0	77	
MYCO000005	14	0	92	
MYCO000006	17	0	129	
MYCO000009	4	0	15	
MYCO000011	5	0	12	
MYCO000013	2	0	35	
MYCO000015	441	0	43	
MYCO000016	27	0	48	
MYCO000017	25	0	42	
MYCO000019	3	0	24	
MYCO000038	137	0	17	
MYCO000046	4	0	44	
MYCO000047	8	0	25	
MYCO000049	14	0	19	
MYCO000050	230	0	97	
MYCO000051	174	0	66	
MYCO000054	77	0	17	
MYCO000066	12	0	75	
MYCO000068	54	0	48	
MYCO000129	19	0	23	
MYCO000183	96	0	25	
MYCO000184	98	0	19	
MYCO000189	259	0	39	
MYCO000198	17	0	75	
MYCO000204	57	0	30	
MYCO000207	8	0	24	
MYCO000211	22	0	66	
MYCO000223	197	0	43	
MYCO000225	13	0	26	
MYCO000227	217	0	40	
MYCO000228	35	0	35	
MYCO000236	463	0	91	
MYCO000237	52	0	47	
MYCO000238	5	0	23	
MYCO000241	11	0	37	
MYCO000242	357	0	38	
MYCO000243	162	0	38	
MYCO000244	38	1013	47	
MYCO000247	5	0	19	
MYCO000248	9	0	39	
MYCO000270	20	0	64	
MYCO000274	135	0	25	
MYCO000321	4	0	12	
MYCO000322	17	0	32	
MYCO000334	4	0	19	
MYCO000337	17	0	29	
MYCO000350	26	0	32	
MYCO000352	210	0	28	
MYCO000357	8	0	29	
MYCO000360	79	0	18	
MYCO000383	380	0	19	
MYCO000384	265	0	57	
MYCO000407	80	0	26	
