"Locus"	"Missing"	"Paralogous"	"CountNuc"	"CountAA"	"MinLength"	"MaxLength"	"AvgLength"	"NonVarNuc"	"NonVarAA"	"AllelicDiv"	"ADivNM"	"VSitesNuc"	"VSitesAA"	"RatioCount"	"RatioVS"
"MYCO000001"	5	0	2	2	1524	1524	1524	1522	1522	0.00131233595800525	-0.00335742243357406	0.00131233595800525	-1.99606299212598	1	-1521
"MYCO000005"	2	0	6	5	2028	2034	2029.2	1491	1491	0.00295683027794205	-0.00171292811363726	0.265227675931402	-1.2043169722058	0.833333333333333	-4.54069119286511
"MYCO000006"	1	0	8	8	2517	2520	2518.5	1825	1825	0.00317649394480842	-0.00149326444677089	0.27536231884058	-1.17391304347826	1	-4.26315789473684
"MYCO000009"	0	0	6	6	528	549	545	357	357	0.0110091743119266	0.0063394159203473	0.344954128440367	-0.965137614678899	1	-2.79787234042553
"MYCO000011"	1	0	5	4	264	282	277.5	166	166	0.018018018018018	0.0133482596264387	0.401801801801802	-0.794594594594595	0.8	-1.97757847533632
"MYCO000013"	2	0	6	5	687	699	691.8	484	484	0.00867302688638335	0.00400326849480404	0.300375831165077	-1.09887250650477	0.833333333333333	-3.65832531280077
"MYCO000015"	5	0	3	2	1296	1296	1296	1294	1294	0.00231481481481481	-0.00235494357676449	0.00154320987654321	-1.99537037037037	0.666666666666667	-1293
"MYCO000016"	1	0	5	4	1476	1479	1476.75	956	956	0.00338581344167936	-0.00128394494989994	0.352632469950906	-0.942102590147283	0.8	-2.67162746039366
"MYCO000017"	1	0	5	5	1410	1413	1410.6	892	892	0.00354459095420388	-0.00112516743737542	0.367644973770027	-0.897065078689919	1	-2.44003085229464
"MYCO000019"	0	0	6	5	465	468	467.4	281	281	0.0128369704749679	0.0081672120833886	0.39880188275567	-0.803594351732991	0.833333333333333	-2.01502145922747
"MYCO000002"	4	0	3	3	1209	1209	1209	951	951	0.00248138957816377	-0.00218836881341553	0.213399503722084	-1.35980148883375	1	-6.37209302325581
"MYCO000003"	1	0	7	7	1149	1158	1156.71428571429	621	621	0.00605162405829317	0.00138186566671387	0.463134494257134	-0.610596517228597	1	-1.31839999999998
"MYCO000004"	5	0	2	2	564	564	564	563	563	0.00354609929078014	-0.00112365910079916	0.00177304964539007	-1.99468085106383	1	-1125
"MYCO000007"	5	0	2	2	915	915	915	914	914	0.00218579234972678	-0.00248396604185253	0.00109289617486339	-1.99672131147541	1	-1827
"MYCO000008"	5	0	2	2	438	438	438	437	437	0.0045662100456621	-0.000103548345917205	0.00228310502283105	-1.99315068493151	1	-873
"MYCO000010"	6	0	1	1	426	426	426	0	0	0.00234741784037559	-0.00232234055120372	1	1	1	1
"MYCO000012"	5	0	4	4	789	789	789	786	786	0.00506970849176172	0.000399950100182418	0.00380228136882129	-1.98859315589354	1	-523
"MYCO000014"	1	0	6	5	1878	1881	1880.4	1206	1206	0.00319081046585833	-0.00147894792572098	0.358647096362476	-0.924058710912572	0.833333333333333	-2.57651245551601
"MYCO000018"	5	0	3	3	1545	1545	1545	1541	1541	0.00194174757281553	-0.00272801081876377	0.00258899676375405	-1.99223300970874	1	-769.5
"MYCO000020"	4	0	5	4	1566	1599	1578.75	1260	1260	0.00316706254948535	-0.00150269584209395	0.201900237529691	-1.39429928741093	0.8	-6.90588235294118
"MYCO000021"	5	0	2	2	969	969	969	968	968	0.00206398348813209	-0.00260577490344721	0.00103199174406605	-1.9969040247678	1	-1935
"MYCO000022"	5	0	1	1	420	420	420	0	0	0.00238095238095238	-0.00228880601062693	1	1	1	1
"MYCO000023"	3	0	3	3	771	789	783	613	613	0.00383141762452107	-0.000838340767058233	0.217113665389527	-1.34865900383142	1	-6.21176470588235
"MYCO000024"	6	0	1	1	846	846	846	0	0	0.00118203309692671	-0.00348772529465259	1	1	1	1
"MYCO000025"	6	0	2	2	363	363	363	362	362	0.00550964187327824	0.000839883481698931	0.00275482093663912	-1.99173553719008	1	-723
