Locus	Status	Total allele count	Shared allele count	Shared alleles	Alleles specific to M. canetti	Alleles specific to M. bovis
BACT000001	Specific	5	0		3871;3876;3877;3878	645
BACT000002	Mixed	4	1	140	2922;2916;2921	
BACT000003	Specific	5	0		2442;2444;2443;2438	126
BACT000004	Specific	6	0		2513;2510;2512;2507;2511	112
BACT000005	Specific	6	0		2303;2299;2305;2304;2302	79
BACT000006	Mixed	3	1	82	2101;2100	
BACT000007	Mixed	4	1	93	2208;2203;2207	
BACT000008	Specific	6	0		2061;2060;2059;2062;2056	66
BACT000009	Mixed	5	1	85	2318;2320;2313;2319	
BACT000010	Specific	2	0		1991	76
BACT000011	Specific	4	0		1926;1933;66	57
BACT000012	Mixed	3	1	84	2146	568
BACT000013	Specific	4	0		1962;1963;1958	61
BACT000014	Mixed	4	1	71	1670;1671	68
BACT000015	Mixed	3	1	73	2149;3598	
BACT000016	Mixed	4	1	58	1932;1934;1933	
BACT000017	Mixed	4	1	60	1839;1835;1838	
BACT000018	Mixed	3	1	1494	1770	59
BACT000019	No variation	1	1	51		
BACT000020	Specific	4	0		1886;1882;1887	69
BACT000021	No variation	0	0			
BACT000030	Specific	4	0		2917;2916;2911	637
BACT000031	Specific	6	0		2832;2838;2837;2836	615;88
BACT000032	Mixed	3	1	114	2650;2651	
BACT000033	Specific	4	0		2644;2639;2643	100
BACT000034	Mixed	3	1	77	2218	568
BACT000035	Specific	6	0		2355;2349;2353;2356;2354	86
BACT000036	Mixed	4	1	84	2214;2213;2210	
BACT000038	Mixed	4	1	74	2711;2710;2709	
BACT000039	Specific	5	0		2146;2147;2148;2143	54
BACT000040	Mixed	3	1	61	2286;2290	
BACT000042	Specific	4	0		2243;2244;2241	73
BACT000043	Specific	3	0		1926;1925	70
BACT000044	Specific	6	0		2268;2263;2267;2266;2269	555
BACT000045	Specific	4	0		1989;1988;1983	59
BACT000046	Specific	4	0		2042;2040;2041	533
BACT000047	Specific	6	0		2101;2104;2100;2083;2084	43
BACT000048	Mixed	4	1	61	2201;2202;2197	
BACT000049	Mixed	4	1	56	2199;2198;2191	
BACT000050	Specific	5	0		2000;1996;2001;2002	43
BACT000051	Specific	5	0		2067;2069;2071;2070	90
BACT000052	Specific	3	0		1860;1859	59
BACT000053	Mixed	3	1	78	1931;1926	
BACT000056	No variation	1	1	51		
BACT000057	Mixed	5	1	1005	1666;1664;1801	55
BACT000058	Mixed	4	1	50	1534;1530;1535	
BACT000059	Specific	5	0		36;1343;1342;1341	423
BACT000060	Mixed	5	1	51	1909;1908;1903	535
BACT000061	Specific	4	0		1663;1667;1668	74
BACT000062	Mixed	3	1	638	1653	80
BACT000063	Specific	3	0		1507;1508	42
BACT000064	Mixed	4	1	41	1690;1687;1691	
BACT000065	Mixed	2	1	23	1333	
