locus,count-nuc,missing
BACT000001,72,7
BACT000002,30,9
BACT000003,34,61
BACT000004,25,4
BACT000005,27,4
BACT000006,15,0
BACT000007,19,3
BACT000008,22,8
BACT000009,23,9
BACT000010,13,0
BACT000011,22,3
BACT000012,19,1
BACT000013,24,1
BACT000014,2,0
BACT000015,8,4
BACT000016,27,14
BACT000017,14,3
BACT000018,4,0
BACT000019,10,0
BACT000020,10,0
BACT000021,0,5812
BACT000030,28,6
BACT000031,23,0
BACT000032,22,5
BACT000033,33,2
BACT000034,25,5
BACT000035,24,2
BACT000036,19,4
BACT000038,16,15
BACT000039,23,2
BACT000040,14,458
BACT000042,24,0
BACT000043,20,3
BACT000044,14,3
BACT000045,16,5
BACT000046,26,1
BACT000047,12,11
BACT000048,19,2
BACT000049,14,2
BACT000050,11,1
BACT000051,19,15
BACT000052,16,2
BACT000053,15,5
BACT000056,10,0
BACT000057,6,1
BACT000058,14,1
BACT000059,11,1
BACT000060,7,1
BACT000061,11,5
BACT000062,7,1
BACT000063,15,2
BACT000064,11,1
BACT000065,4,1
MYCO000001,125,20
MYCO000005,139,9
MYCO000006,240,12
MYCO000009,34,6
MYCO000011,23,2
MYCO000013,63,3
MYCO000015,86,394
MYCO000016,96,1
MYCO000017,78,39
MYCO000019,28,0
MYCO000038,35,4
MYCO000046,67,3
MYCO000047,34,7
MYCO000049,26,4
MYCO000050,153,131
MYCO000051,108,48
MYCO000054,28,25
MYCO000066,125,16
MYCO000068,76,26
MYCO000129,34,10
MYCO000183,55,44
MYCO000184,38,15
MYCO000189,67,92
MYCO000198,106,33
MYCO000204,50,25
MYCO000207,41,6
MYCO000211,102,24
MYCO000223,79,53
MYCO000225,43,4
MYCO000227,59,44
MYCO000228,57,6
MYCO000236,198,160
MYCO000237,66,17
MYCO000238,32,2
MYCO000241,58,11
MYCO000242,64,532
MYCO000243,67,57
MYCO000244,77,4
MYCO000247,28,7
MYCO000248,55,11
MYCO000270,87,23
MYCO000274,36,440
MYCO000321,19,1
MYCO000322,60,28
MYCO000334,30,2
MYCO000337,45,8
MYCO000350,47,18
MYCO000352,49,58
MYCO000357,57,0
MYCO000360,29,45
MYCO000383,36,193
MYCO000384,93,75
MYCO000407,50,20
MYCO000410,91,30
MYCO000411,47,5
MYCO000414,31,296
MYCO000415,47,226
MYCO000417,29,5
MYCO000423,52,4
MYCO000429,28,0
MYCO000432,28,3
MYCO000433,37,14
MYCO000439,46,20
MYCO000440,49,8
MYCO000462,38,6
MYCO000465,74,32
MYCO000466,26,3
MYCO000467,42,1
MYCO000468,31,11
MYCO000472,29,6
MYCO000475,33,53
MYCO000483,55,6
MYCO000484,33,37
MYCO000486,63,49
MYCO000489,24,69
MYCO000490,37,38
MYCO000491,17,2
MYCO000495,36,0
MYCO000496,40,3
MYCO000498,43,2
MYCO000501,49,12
MYCO000502,35,2
MYCO000505,41,262
MYCO000509,55,36
MYCO000510,36,6
MYCO000512,36,1
MYCO000524,60,53
MYCO000527,32,22
MYCO000528,63,166
MYCO000529,49,7
MYCO000548,31,2
MYCO000551,85,42
MYCO000553,43,27
MYCO000555,58,27
MYCO000557,70,9
MYCO000558,25,17
MYCO000562,39,3
MYCO000563,41,4
MYCO000564,45,13
MYCO000566,20,21
MYCO000636,25,5
MYCO000639,23,3
MYCO000647,58,43
MYCO000655,44,0
MYCO000667,265,20
MYCO000668,253,32
MYCO000672,92,171
MYCO000684,89,33
MYCO000685,27,6
MYCO000693,46,26
MYCO000696,60,9
MYCO000732,54,4
MYCO000733,20,0
MYCO000734,29,15
MYCO000757,34,2
MYCO000758,167,24
MYCO000772,54,16
MYCO000777,32,3
MYCO000780,35,1
MYCO000782,5,5660
MYCO000788,25,6
MYCO000803,84,18
MYCO000808,67,50
MYCO000809,29,0
MYCO000810,7,0
MYCO000814,11,1087
MYCO000815,38,40
MYCO000820,24,10
MYCO000821,17,5
