locus,varsites
BACT000001,1375
BACT000002,832
BACT000003,791
BACT000004,582
BACT000005,632
BACT000006,277
BACT000007,453
BACT000008,379
BACT000009,413
BACT000010,294
BACT000011,367
BACT000012,359
BACT000013,352
BACT000014,114
BACT000015,263
BACT000016,464
BACT000017,356
BACT000018,141
BACT000019,273
BACT000020,252
BACT000021,0
BACT000030,641
BACT000031,820
BACT000032,596
BACT000033,640
BACT000034,532
BACT000035,517
BACT000036,360
BACT000038,442
BACT000039,515
BACT000040,417
BACT000042,421
BACT000043,350
BACT000044,428
BACT000045,402
BACT000046,519
BACT000047,358
BACT000048,323
BACT000049,377
BACT000050,305
BACT000051,577
BACT000052,288
BACT000053,304
BACT000056,253
BACT000057,92
BACT000058,112
BACT000059,188
BACT000060,237
BACT000061,164
BACT000062,53
BACT000063,62
BACT000064,184
BACT000065,111
MYCO000001,1400
MYCO000002,1126
MYCO000003,1079
MYCO000004,510
MYCO000005,1901
MYCO000006,2320
MYCO000007,807
MYCO000008,397
MYCO000009,518
MYCO000010,361
MYCO000011,260
MYCO000012,723
MYCO000013,608
MYCO000014,1759
MYCO000015,1191
MYCO000016,1381
MYCO000017,1331
MYCO000018,1457
MYCO000019,441
MYCO000020,1377
MYCO000021,900
MYCO000022,383
MYCO000023,715
MYCO000024,789
MYCO000025,328
MYCO000026,1266
MYCO000027,301
MYCO000028,268
MYCO000029,995
MYCO000030,305
MYCO000031,195
MYCO000032,2195
MYCO000033,250
MYCO000034,374
MYCO000035,1547
MYCO000036,721
MYCO000037,1243
MYCO000038,575
MYCO000039,323
MYCO000040,873
MYCO000041,2725
MYCO000042,555
MYCO000043,683
MYCO000044,735
MYCO000045,848
MYCO000046,1036
MYCO000047,510
MYCO000048,807
MYCO000049,390
MYCO000050,1906
MYCO000051,1577
MYCO000052,496
MYCO000054,469
MYCO000057,460
MYCO000058,2489
MYCO000059,648
MYCO000060,1013
MYCO000061,320
MYCO000062,1043
MYCO000063,1336
MYCO000064,2759
MYCO000065,388
MYCO000066,2117
MYCO000067,540
MYCO000068,816
MYCO000069,1311
MYCO000070,825
MYCO000071,643
MYCO000072,991
MYCO000073,773
MYCO000074,1169
MYCO000075,1115
MYCO000076,370
MYCO000077,777
MYCO000078,583
MYCO000079,792
MYCO000080,410
MYCO000081,320
MYCO000082,455
MYCO000083,1856
MYCO000084,915
MYCO000085,619
MYCO000086,1371
MYCO000087,1386
MYCO000088,638
MYCO000089,563
MYCO000090,712
MYCO000091,724
MYCO000092,2164
MYCO000093,781
MYCO000094,929
MYCO000095,360
MYCO000096,1305
MYCO000097,843
MYCO000098,523
MYCO000099,1551
MYCO000100,229
MYCO000101,7166
MYCO000102,1852
MYCO000103,2142
MYCO000104,1437
MYCO000106,1149
MYCO000107,4893
MYCO000108,199
MYCO000109,1413
MYCO000110,705
MYCO000111,1960
MYCO000112,875
MYCO000113,537
MYCO000114,541
MYCO000115,1095
MYCO000116,709
MYCO000117,899
MYCO000118,1637
MYCO000119,1501
MYCO000120,2022
MYCO000121,412
MYCO000122,349
MYCO000123,355
MYCO000124,1448
MYCO000125,1017
MYCO000126,1703
MYCO000127,1315
MYCO000128,744
MYCO000129,989
MYCO000130,419
MYCO000131,1283
MYCO000132,1032
MYCO000133,560
MYCO000134,871
