id	isolate	species	MYCO000001	MYCO000005	MYCO000006	MYCO000009	MYCO000011	MYCO000013	MYCO000015	MYCO000016	MYCO000017	MYCO000019	MYCO000002	MYCO000003	MYCO000004	MYCO000007	MYCO000008	MYCO000010	MYCO000012	MYCO000014	MYCO000018	MYCO000020	MYCO000021	MYCO000022	MYCO000023	MYCO000024	MYCO000025
1	ATCC 19977	Mycobacterium abscessus		64	119	20	18					34		141													I
10	CDC1551	Mycobacterium tuberculosis	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	I
11	F11	Mycobacterium tuberculosis	1	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	3	1	2	1	1	1	1	1	1
12	H37Ra	Mycobacterium tuberculosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
13	H37Rv	Mycobacterium tuberculosis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	KZN 1435	Mycobacterium tuberculosis	1	1	3	1	1	1	2	1	1	1	1	2	1	1	2	1	3	2	2	3	1	1	1	1	1
15	Agy99	Mycobacterium ulcerans	X		122	24		29		49	46	27	46	108						71		66					I
16	PYR-1	Mycobacterium vanbaalenii	X			30	26			54	54	30								82							I
17	104	Mycobacterium avium	X	88	137	31	27	33		55	55	31		109						83					35		I
18	K-10	Mycobacterium avium	X	89	139	32	28	34		56	56	31		110						84					36		I
19	AF2122/97	Mycobacterium bovis	2	3	4	1	1	3	3	1	1	2	2	3	2	2	2		4	1	3	4	2	1	1		2
