Locus	Missing	Paralogous	CountNuc	CountAA	MinLength	MaxLength	AvgLength	NonVarNuc	NonVarAA
MYCO000001	5	0	2	2	1524	1524	1524	1522	505
MYCO000005	2	0	6	5	2028	2034	2029.2	1491	575
MYCO000006	1	0	8	8	2517	2520	2518.5	1825	716
MYCO000009	0	0	6	6	528	549	545	357	132
MYCO000011	1	0	5	4	264	282	277.5	166	61
MYCO000013	2	0	6	5	687	699	691.8	484	179
MYCO000015	5	0	3	2	1296	1296	1296	1294	430
MYCO000016	1	0	5	4	1476	1479	1476.75	956	354
MYCO000017	1	0	5	5	1410	1413	1410.6	892	332
MYCO000019	0	0	6	5	465	468	467.4	281	111
MYCO000002	4	0	3	3	1209	1209	1209	951	341
MYCO000003	1	0	7	7	1149	1158	1156.71428571429	621	235
MYCO000004	5	0	2	2	564	564	564	563	186
MYCO000007	5	0	2	2	915	915	915	914	303
MYCO000008	5	0	2	2	438	438	438	437	144
MYCO000010	6	0	1	1	426	426	426	0	0
MYCO000012	5	0	4	4	789	789	789	786	259
MYCO000014	1	0	6	5	1878	1881	1880.4	1206	433
MYCO000018	5	0	3	3	1545	1545	1545	1541	511
MYCO000020	4	0	5	4	1566	1599	1578.75	1260	421
MYCO000021	5	0	2	2	969	969	969	968	321
MYCO000022	5	0	1	1	420	420	420	0	0
MYCO000023	3	0	3	3	771	789	783	613	219
MYCO000024	6	0	1	1	846	846	846	0	0
MYCO000025	6	0	2	2	363	363	363	362	119
