locus,count-aa,avg-length
BACT000001,49,1445.87755102041
BACT000002,24,864.125
BACT000003,21,825.428571428571
BACT000004,13,606
BACT000005,20,663.6
BACT000006,10,291
BACT000007,7,471
BACT000008,8,399
BACT000009,14,455.571428571429
BACT000010,7,306
BACT000011,13,417.230769230769
BACT000012,12,375
BACT000013,12,375
BACT000014,2,246
BACT000015,8,271.5
BACT000016,20,489
BACT000017,10,369
BACT000018,3,263
BACT000019,5,282
BACT000020,7,261
BACT000021,0,0,0,0
BACT000030,19,705.789473684211
BACT000031,10,843
BACT000032,11,618
BACT000033,21,672
BACT000034,14,563.357142857143
BACT000035,12,540
BACT000036,14,391.928571428571
BACT000038,9,458.666666666667
BACT000039,15,537
BACT000040,8,429
BACT000042,14,444
BACT000043,6,369
BACT000044,10,441
BACT000045,11,417
BACT000046,16,543.1875
BACT000047,6,372
BACT000048,12,342
BACT000049,8,390
BACT000050,7,315
BACT000051,12,595.25
BACT000052,7,303
BACT000053,10,318
BACT000056,5,261
BACT000057,5,265.2
BACT000058,9,229.666666666667
BACT000059,9,198
BACT000060,4,243
BACT000061,8,174
BACT000062,7,167.142857142857
BACT000063,9,143
BACT000064,7,195
BACT000065,3,114
MYCO000001,94,1524.09574468085
MYCO000002,55,1209
MYCO000003,47,1158
MYCO000004,43,564
MYCO000005,88,2028
MYCO000006,163,2517.01840490798
MYCO000007,67,915
MYCO000008,32,438
MYCO000009,12,549
MYCO000010,51,426
MYCO000011,18,282
MYCO000012,52,789
MYCO000013,36,698
MYCO000014,63,1881
MYCO000015,46,1295.41304347826
MYCO000016,57,1476
MYCO000017,51,1409.94117647059
MYCO000018,55,1545
MYCO000019,15,468
MYCO000020,96,1573.125
MYCO000021,51,969
MYCO000022,28,420
MYCO000023,36,771
MYCO000024,35,846
MYCO000025,26,363
MYCO000026,64,1352.25
MYCO000027,14,318
MYCO000028,12,304.25
MYCO000029,54,1099.55555555556
MYCO000030,20,330
MYCO000031,12,213
MYCO000032,91,2316.0989010989
MYCO000033,11,264
MYCO000034,13,396
MYCO000035,92,1690.10869565217
MYCO000036,34,774
MYCO000037,53,1326
MYCO000038,14,609
MYCO000039,14,348
MYCO000040,39,933
MYCO000041,107,2910
MYCO000042,60,627
MYCO000043,29,734.896551724138
MYCO000044,36,794.916666666667
MYCO000045,40,897.075
MYCO000046,40,1104
MYCO000047,23,543
MYCO000048,43,870.06976744186
MYCO000049,16,414
MYCO000050,95,2041.26315789474
MYCO000051,71,1683
MYCO000052,30,563
MYCO000054,12,495.25
MYCO000057,40,521.85
MYCO000058,73,2625
MYCO000059,34,693
MYCO000060,27,1059
MYCO000061,14,339
MYCO000062,70,1142.87142857143
MYCO000063,64,1440.421875
MYCO000064,121,2939.90082644628
MYCO000065,9,402
MYCO000066,76,2238
MYCO000067,16,570
MYCO000068,63,912.142857142857
MYCO000069,48,1385.9375
MYCO000070,36,1278.16666666667
MYCO000071,42,709.642857142857
MYCO000072,41,1050
MYCO000073,38,992.921052631579
MYCO000074,39,1235.84615384615
MYCO000075,49,1173
MYCO000076,15,390
MYCO000077,33,830.818181818182
MYCO000078,16,606
MYCO000079,19,822
MYCO000080,34,458.911764705882
MYCO000081,11,345
MYCO000082,14,480
MYCO000083,42,1923
MYCO000084,20,951
MYCO000085,30,663
MYCO000086,46,1466.60869565217
MYCO000087,52,1478.76923076923
MYCO000088,33,675
MYCO000089,21,594
MYCO000090,33,770.181818181818
MYCO000091,27,767.666666666667
MYCO000092,79,2286
MYCO000093,48,848.8125
MYCO000094,18,954.166666666667
MYCO000095,125,410.976
MYCO000096,54,1392
MYCO000097,15,870
MYCO000098,15,552
MYCO000099,45,1623
MYCO000100,4,237
MYCO000101,223,7539
MYCO000102,72,1985.91666666667
MYCO000103,75,2259
MYCO000104,59,1515
MYCO000106,27,1197
MYCO000107,3,4899
MYCO000108,7,210
MYCO000109,54,1491.16666666667
MYCO000110,27,749.333333333333
MYCO000111,61,2057.95081967213
MYCO000112,50,956.76
MYCO000113,45,591
MYCO000114,24,573
MYCO000115,50,1161
MYCO000116,27,755.888888888889
MYCO000117,35,945.171428571429
MYCO000118,63,1748.80952380952
MYCO000119,45,1578
MYCO000120,79,2145
MYCO000121,16,435
MYCO000122,16,369
MYCO000123,7,369
MYCO000124,7,1462.71428571429
MYCO000125,20,1068
MYCO000126,54,1805.77777777778
MYCO000127,31,1368
MYCO000128,21,779.714285714286
MYCO000129,19,1023
MYCO000130,23,456
MYCO000131,45,1344
MYCO000132,41,1083.07317073171
MYCO000133,34,606
MYCO000134,24,903.875
MYCO000135,16,606
MYCO000136,68,1325.73529411765
MYCO000137,16,549
MYCO000138,20,504
MYCO000139,35,1023
MYCO000140,18,381
MYCO000141,15,411
MYCO000142,38,926.921052631579
MYCO000143,60,1479
MYCO000144,29,842.793103448276
MYCO000145,43,954
MYCO000146,35,932.828571428571
MYCO000147,58,1520.94827586207
MYCO000148,22,861
MYCO000149,31,969
MYCO000150,15,288.2
MYCO000151,80,1766.775
MYCO000152,65,1577.95384615385
MYCO000153,26,830.769230769231
MYCO000154,30,1212
MYCO000155,25,1101
MYCO000156,11,333
MYCO000157,40,1427.85
MYCO000158,24,645
MYCO000159,72,1406.83333333333
MYCO000160,64,1509
